Runs,Wkts,Balls,Ave,RPO,Ground,StartDate
1362,34,2277,40.05,3.58,Lord's,24 Jun 1938
1496,24,3015,62.33,2.97,Nottingham,10 Jun 1938
1008,30,2092,33.6,2.89,Melbourne,26 Feb 1937
1294,40,3108,32.35,2.49,Adelaide,29 Jan 1937
1163,38,2578,30.6,2.7,Melbourne,1 Jan 1937
830,25,2096,33.2,2.37,Sydney,18 Dec 1936
906,39,2629,23.23,2.06,Brisbane,4 Dec 1936
1494,37,2525,40.37,3.55,The Oval,18 Aug 1934
1013,26,2552,38.96,2.38,Leeds,20 Jul 1934
1307,20,2823,65.35,2.77,Manchester,6 Jul 1934
842,30,2166,28.06,2.33,Lord's,22 Jun 1934
1056,38,2931,27.78,2.16,Nottingham,8 Jun 1934
1239,32,2434,38.71,3.05,Sydney,23 Feb 1933
1033,34,2729,30.38,2.27,Brisbane,10 Feb 1933
1168,38,3016,30.73,2.32,Adelaide,13 Jan 1933
727,40,1704,18.17,2.55,Melbourne,30 Dec 1932
1049,30,2374,34.96,2.65,Sydney,2 Dec 1932
1351,30,3161,45.03,2.56,The Oval,16 Aug 1930
596,18,1651,33.11,2.16,Manchester,25 Jul 1930
1052,23,2371,45.73,2.66,Leeds,11 Jul 1930
1601,29,3034,55.2,3.16,Lord's,27 Jun 1930
1051,39,2382,26.94,2.64,Nottingham,13 Jun 1930
1554,35,4244,44.4,2.19,Melbourne,8 Mar 1929
1422,40,4174,35.55,2.04,Adelaide,1 Feb 1929
1497,37,4209,40.45,2.13,Melbourne,29 Dec 1928
1302,30,3235,43.4,2.41,Sydney,14 Dec 1928
1051,35,2321,30.02,2.71,Brisbane,30 Nov 1928
1143,40,2900,28.57,2.36,The Oval,14 Aug 1926
640,15,1652,42.66,2.32,Manchester,24 Jul 1926
1042,23,2274,45.3,2.74,Leeds,10 Jul 1926
1052,18,2465,58.44,2.56,Lord's,26 Jun 1926
32,0,104,-,1.84,Nottingham,12 Jun 1926
933,40,2507,23.32,2.23,Sydney,27 Feb 1925
1067,30,2318,35.56,2.76,Melbourne,13 Feb 1925
1467,40,3597,36.67,2.44,Adelaide,16 Jan 1925
1619,40,3787,40.47,2.56,Melbourne,1 Jan 1925
1611,40,3639,40.27,2.65,Sydney,19 Dec 1924
1036,20,1722,51.8,3.6,The Oval,13 Aug 1921
581,15,1498,38.73,2.32,Manchester,23 Jul 1921
1141,35,1870,32.6,3.66,Leeds,2 Jul 1921
943,32,1640,29.46,3.45,Lord's,11 Jun 1921
521,30,1241,17.36,2.51,Nottingham,28 May 1921
969,31,1784,31.25,3.25,Sydney,25 Feb 1921
1199,32,2357,37.46,3.05,Melbourne,11 Feb 1921
1753,40,3194,43.82,3.29,Adelaide,14 Jan 1921
907,28,1754,32.39,3.1,Melbourne,31 Dec 1920
1319,40,2816,32.97,2.81,Sydney,17 Dec 1920
596,40,1669,14.9,2.14,The Oval,19 Aug 1912
217,10,635,21.7,2.05,Manchester,29 Jul 1912
592,14,1304,42.28,2.72,Lord's,24 Jun 1912
1006,40,2128,25.15,2.83,Sydney,23 Feb 1912
953,30,1907,31.76,2.99,Melbourne,9 Feb 1912
1222,33,2599,37.03,2.82,Adelaide,12 Jan 1912
967,32,1912,30.21,3.03,Melbourne,30 Dec 1911
1364,40,2740,34.1,2.98,Sydney,15 Dec 1911
1120,28,1975,40,3.4,The Oval,9 Aug 1909
653,32,1478,20.4,2.65,Manchester,26 Jul 1909
664,38,1750,17.47,2.27,Leeds,1 Jul 1909
781,31,1822,25.19,2.57,Lord's,14 Jun 1909
451,30,1120,15.03,2.41,Birmingham,27 May 1909
