Team,Score,Overs,RPO,Result,Opposition,Ground,StartDate
AU,516/9d,152.5,3.37,draw,EN,Birmingham,8 Jun 1961
EN,401/4,154,2.6,draw,AU,Birmingham,8 Jun 1961
EN,206,78.3,2.62,lost,AU,Lord's,22 Jun 1961
AU,340,139.3,2.43,won,EN,Lord's,22 Jun 1961
EN,202,97,2.08,lost,AU,Lord's,22 Jun 1961
AU,71/5,20.5,3.4,won,EN,Lord's,22 Jun 1961
AU,237,110,2.15,lost,EN,Leeds,6 Jul 1961
EN,299,149,2,won,AU,Leeds,6 Jul 1961
AU,120,52.5,2.27,lost,EN,Leeds,6 Jul 1961
EN,62/2,23,2.69,won,AU,Leeds,6 Jul 1961
AU,190,63.4,2.98,won,EN,Manchester,27 Jul 1961
EN,367,163.4,2.24,lost,AU,Manchester,27 Jul 1961
AU,432,171.4,2.51,won,EN,Manchester,27 Jul 1961
EN,201,71.4,2.8,lost,AU,Manchester,27 Jul 1961
EN,256,118.1,2.16,draw,AU,The Oval,17 Aug 1961
AU,494,165.5,2.97,draw,EN,The Oval,17 Aug 1961
EN,370/8,177,2.09,draw,AU,The Oval,17 Aug 1961
AU,404,106.5x8,2.84,draw,EN,Brisbane,30 Nov 1962
EN,389,135.3x8,2.15,draw,AU,Brisbane,30 Nov 1962
AU,362/4d,87.0x8,3.12,draw,EN,Brisbane,30 Nov 1962
EN,278/6,83.0x8,2.51,draw,AU,Brisbane,30 Nov 1962
AU,316,92.0x8,2.57,lost,EN,Melbourne,29 Dec 1962
EN,331,88.1x8,2.81,won,AU,Melbourne,29 Dec 1962
AU,248,96.0x8,1.93,lost,EN,Melbourne,29 Dec 1962
EN,237/3,64.2x8,2.76,won,AU,Melbourne,29 Dec 1962
EN,279,86.5x8,2.41,lost,AU,Sydney,11 Jan 1963
AU,319,101.2x8,2.36,won,EN,Sydney,11 Jan 1963
EN,104,56.6x8,1.37,lost,AU,Sydney,11 Jan 1963
AU,67/2,12.2x8,4.1,won,EN,Sydney,11 Jan 1963
AU,393,103.1x8,2.85,draw,EN,Adelaide,25 Jan 1963
EN,331,90.2x8,2.75,draw,AU,Adelaide,25 Jan 1963
AU,293,90.3x8,2.43,draw,EN,Adelaide,25 Jan 1963
EN,223/4,57.0x8,2.93,draw,AU,Adelaide,25 Jan 1963
EN,321,134.6x8,1.78,draw,AU,Sydney,15 Feb 1963
AU,349,131.2x8,1.99,draw,EN,Sydney,15 Feb 1963
EN,268/8d,82.0x8,2.45,draw,AU,Sydney,15 Feb 1963
AU,152/4,72.0x8,1.58,draw,EN,Sydney,15 Feb 1963
EN,216/8d,102,2.11,draw,AU,Nottingham,4 Jun 1964
AU,168,78.3,2.14,draw,EN,Nottingham,4 Jun 1964
EN,193/9d,66.5,2.88,draw,AU,Nottingham,4 Jun 1964
AU,40/2,9.2,4.28,draw,EN,Nottingham,4 Jun 1964
AU,176,84,2.09,draw,EN,Lord's,18 Jun 1964
EN,246,99.3,2.47,draw,AU,Lord's,18 Jun 1964
AU,168/4,74,2.27,draw,EN,Lord's,18 Jun 1964
EN,268,103.3,2.58,lost,AU,Leeds,2 Jul 1964
AU,389,158.3,2.45,won,EN,Leeds,2 Jul 1964
EN,229,89.5,2.54,lost,AU,Leeds,2 Jul 1964
AU,111/3,57,1.94,won,EN,Leeds,2 Jul 1964
AU,656/8d,255.5,2.56,draw,EN,Manchester,23 Jul 1964
EN,611,293.1,2.08,draw,AU,Manchester,23 Jul 1964
AU,4/0,2,2,draw,EN,Manchester,23 Jul 1964
EN,182,71.4,2.53,draw,AU,The Oval,13 Aug 1964
AU,379,177.3,2.13,draw,EN,The Oval,13 Aug 1964
EN,381/4,163,2.33,draw,AU,The Oval,13 Aug 1964
AU,443/6d,137.0x8,2.42,draw,EN,Brisbane,10 Dec 1965
EN,280,93.1x8,2.25,draw,AU,Brisbane,10 Dec 1965
EN,186/3,50.0x8,2.79,draw,AU,Brisbane,10 Dec 1965
AU,358,107.5x8,2.49,draw,EN,Melbourne,30 Dec 1965
EN,558,143.2x8,2.92,draw,AU,Melbourne,30 Dec 1965
AU,426,116.4x8,2.74,draw,EN,Melbourne,30 Dec 1965
EN,5/0,2.0x8,1.87,draw,AU,Melbourne,30 Dec 1965
EN,488,122.7x8,2.97,won,AU,Sydney,7 Jan 1966
AU,221,84.1x8,1.97,lost,EN,Sydney,7 Jan 1966
AU,174,60.3x8,2.16,lost,EN,Sydney,7 Jan 1966
EN,241,80.7x8,2.23,lost,AU,Adelaide,28 Jan 1966
AU,516,126.0x8,3.07,won,EN,Adelaide,28 Jan 1966
EN,266,87.7x8,2.27,lost,AU,Adelaide,28 Jan 1966
EN,485/9d,127.0x8,2.86,draw,AU,Melbourne,11 Feb 1966
AU,543/8d,154.2x8,2.64,draw,EN,Melbourne,11 Feb 1966
EN,69/3,17.0x8,3.04,draw,AU,Melbourne,11 Feb 1966
AU,357,130.3,2.73,won,EN,Manchester,6 Jun 1968
EN,165,104.3,1.57,lost,AU,Manchester,6 Jun 1968
